X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
43.0998	3.000000000	
42.7052	0.000000000	
42.3107	2.000000000	
41.9161	4.000000000	
41.5215	4.000000000	
41.1270	5.000000000	
40.7324	4.000000000	
40.3378	5.000000000	
39.9433	8.000000000	
39.5487	5.000000000	
39.1541	6.000000000	
38.7596	4.000000000	
38.3650	4.000000000	
37.9704	11.000000000	
37.5758	4.000000000	
37.1813	11.000000000	
36.7867	10.000000000	
36.3921	9.000000000	
35.9976	10.000000000	
35.6030	7.000000000	
35.2084	10.000000000	
34.8139	10.000000000	
34.4193	13.000000000	
34.0247	11.000000000	
33.6302	14.000000000	
33.2356	13.000000000	
32.8410	6.000000000	
32.4465	18.000000000	
32.0519	12.000000000	
31.6573	11.000000000	
31.2628	15.000000000	
30.8682	18.000000000	
30.4736	15.000000000	
30.0791	17.000000000	
29.6845	22.000000000	
29.2899	21.000000000	
28.8954	15.000000000	
28.5008	19.000000000	
28.1062	24.000000000	
27.7117	17.000000000	
27.3171	27.000000000	
26.9225	23.000000000	
26.5280	28.000000000	
26.1334	26.000000000	
25.7388	28.000000000	
25.3442	42.000000000	
24.9497	38.000000000	
24.5551	36.000000000	
24.1605	40.000000000	
23.7660	43.000000000	
23.3714	41.000000000	
22.9768	48.000000000	
22.5823	50.000000000	
22.1877	58.000000000	
21.7931	49.000000000	
21.3986	75.000000000	
21.0040	52.000000000	
20.6094	77.000000000	
20.2149	75.000000000	
19.8203	84.000000000	
19.4257	92.000000000	
19.0312	70.000000000	
18.6366	92.000000000	
18.2420	115.000000000	
17.8475	106.000000000	
17.4529	120.000000000	
17.0583	124.000000000	
16.6638	128.000000000	
16.2692	108.000000000	
15.8746	129.000000000	
15.4801	130.000000000	
15.0855	145.000000000	
14.6909	139.000000000	
14.2963	138.000000000	
13.9018	147.000000000	
13.5072	120.000000000	
13.1126	142.000000000	
12.7181	163.000000000	
12.3235	176.000000000	
11.9289	155.000000000	
11.5344	165.000000000	
11.1398	162.000000000	
10.7452	119.000000000	
10.3507	148.000000000	
9.9561	174.000000000	
9.5615	170.000000000	
9.1670	163.000000000	
8.7724	187.000000000	
8.3778	158.000000000	
7.9833	206.000000000	
7.5887	185.000000000	
7.1941	219.000000000	
6.7996	244.000000000	
6.4050	268.000000000	
6.0104	276.000000000	
5.6159	330.000000000	
5.2213	373.000000000	
4.8267	390.000000000	
4.4322	428.000000000	
4.0376	529.000000000	
3.6430	616.000000000	
3.2485	730.000000000	
2.8539	920.000000000	
2.4593	1096.000000000	
2.0647	1328.000000000	
1.6702	1707.000000000	
1.2756	1961.000000000	
0.8810	2240.000000000	
0.4865	2305.000000000	
0.0919	2308.000000000	
-0.3027	2261.000000000	
-0.6972	1924.000000000	
-1.0918	1585.000000000	
-1.4864	1389.000000000	
-1.8809	1044.000000000	
-2.2755	982.000000000	
-2.6701	815.000000000	
-3.0646	871.000000000	
-3.4592	853.000000000	
-3.8538	985.000000000	
-4.2483	1182.000000000	
-4.6429	1774.000000000	
-5.0375	2056.000000000	
-5.4320	1811.000000000	
-5.8266	863.000000000	
-6.2212	287.000000000	
-6.6157	82.000000000	
-7.0103	11.000000000	
