X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
20.4363	1.000000000	
20.2224	0.000000000	
20.0086	2.000000000	
19.7947	0.000000000	
19.5808	0.000000000	
19.3670	5.000000000	
19.1531	1.000000000	
18.9392	0.000000000	
18.7254	1.000000000	
18.5115	3.000000000	
18.2976	4.000000000	
18.0838	2.000000000	
17.8699	2.000000000	
17.6560	2.000000000	
17.4422	1.000000000	
17.2283	0.000000000	
17.0144	5.000000000	
16.8006	2.000000000	
16.5867	4.000000000	
16.3728	3.000000000	
16.1590	8.000000000	
15.9451	2.000000000	
15.7312	1.000000000	
15.5174	2.000000000	
15.3035	4.000000000	
15.0896	3.000000000	
14.8758	2.000000000	
14.6619	2.000000000	
14.4480	8.000000000	
14.2342	5.000000000	
14.0203	6.000000000	
13.8064	3.000000000	
13.5926	3.000000000	
13.3787	5.000000000	
13.1648	5.000000000	
12.9510	5.000000000	
12.7371	5.000000000	
12.5232	14.000000000	
12.3094	4.000000000	
12.0955	7.000000000	
11.8816	9.000000000	
11.6678	11.000000000	
11.4539	9.000000000	
11.2400	11.000000000	
11.0262	10.000000000	
10.8123	12.000000000	
10.5984	12.000000000	
10.3846	19.000000000	
10.1707	18.000000000	
9.9568	13.000000000	
9.7430	16.000000000	
9.5291	15.000000000	
9.3152	26.000000000	
9.1014	15.000000000	
8.8875	19.000000000	
8.6736	18.000000000	
8.4598	20.000000000	
8.2459	22.000000000	
8.0320	23.000000000	
7.8182	13.000000000	
7.6043	13.000000000	
7.3904	14.000000000	
7.1766	22.000000000	
6.9627	18.000000000	
6.7488	11.000000000	
6.5350	20.000000000	
6.3211	23.000000000	
6.1072	19.000000000	
5.8934	20.000000000	
5.6795	27.000000000	
5.4656	17.000000000	
5.2518	26.000000000	
5.0379	26.000000000	
4.8240	37.000000000	
4.6102	36.000000000	
4.3963	49.000000000	
4.1824	43.000000000	
3.9686	41.000000000	
3.7547	62.000000000	
3.5408	53.000000000	
3.3270	63.000000000	
3.1131	85.000000000	
2.8992	101.000000000	
2.6854	104.000000000	
2.4715	131.000000000	
2.2576	158.000000000	
2.0438	201.000000000	
1.8299	184.000000000	
1.6161	224.000000000	
1.4022	224.000000000	
1.1883	292.000000000	
0.9745	327.000000000	
0.7606	316.000000000	
0.5467	346.000000000	
0.3329	350.000000000	
0.1190	368.000000000	
-0.0949	429.000000000	
-0.3087	408.000000000	
-0.5226	434.000000000	
-0.7365	472.000000000	
-0.9503	466.000000000	
-1.1642	507.000000000	
-1.3781	522.000000000	
-1.5919	576.000000000	
-1.8058	567.000000000	
-2.0197	645.000000000	
-2.2335	702.000000000	
-2.4474	681.000000000	
-2.6613	766.000000000	
-2.8751	752.000000000	
-3.0890	807.000000000	
-3.3029	840.000000000	
-3.5167	998.000000000	
-3.7306	1094.000000000	
-3.9445	1222.000000000	
-4.1583	1316.000000000	
-4.3722	1417.000000000	
-4.5861	1348.000000000	
-4.7999	1395.000000000	
-5.0138	1192.000000000	
-5.2277	1019.000000000	
-5.4415	696.000000000	
-5.6554	399.000000000	
-5.8693	184.000000000	
-6.0831	54.000000000	
-6.2970	20.000000000	
-6.5109	8.000000000	
-6.7247	2.000000000	
