# wlstart: 490.0
# wlend: 1000.0
# countthresh: 10000
# aqpixstart: 46
# aqpixend: 963
#  wavelenth in nm 	 intensity in counts
4.901120000000000232e+02	1.151412966008771965e+00
4.906720000000000255e+02	2.722901589912281595e-01
4.912320000000000277e+02	1.046676123903508948e+00
4.917919999999999732e+02	1.794746299342105056e+00
4.923519999999999754e+02	1.218255071271929779e+00
4.929119999999999777e+02	2.470270010964911167e-01
4.934719999999999800e+02	-4.742010690789474348e-01
4.940319999999999823e+02	7.738691063596490061e-01
4.945930000000000177e+02	1.149136650219298339e+00
4.951530000000000200e+02	1.112119106359649168e+00
4.957130000000000223e+02	2.048785773026315482e+00
4.962730000000000246e+02	1.301892817982457096e-01
4.968330000000000268e+02	2.379085800438597575e-01
4.973929999999999723e+02	2.187733141447368190e+00
4.979529999999999745e+02	2.589312088815789448e+00
4.985129999999999768e+02	8.987857730263156819e-01
4.990729999999999791e+02	6.161541940789472260e-01
4.996329999999999814e+02	7.370313870614034757e-01
5.001929999999999836e+02	4.456278782894735890e-01
5.007529999999999859e+02	3.735226151315786391e-01
5.013129999999999882e+02	1.902294544956140365e+00
5.018729999999999905e+02	1.233698053728070176e+00
5.024329999999999927e+02	1.472996299342105297e+00
5.029929999999999950e+02	1.137733141447368368e+00
5.035529999999999973e+02	1.798084018640350834e+00
5.041129999999999995e+02	-1.775300164473684328e-01
5.046730000000000018e+02	-2.364773848684210422e-01
5.052330000000000041e+02	9.896629660087719049e-01
5.057930000000000064e+02	9.614173519736842755e-01
5.063530000000000086e+02	3.191366502192985455e-01
5.069130000000000109e+02	1.935627878289473802e+00
5.074730000000000132e+02	-6.496352796052631273e-01
5.080330000000000155e+02	6.729962993421053641e-01
5.085930000000000177e+02	-1.710387883771929129e-01
5.091530000000000200e+02	-2.212142269736841194e-01
5.097130000000000223e+02	7.198384046052630492e-01
5.102730000000000246e+02	-8.171791392543859001e-01
5.108330000000000268e+02	-4.243721217105261845e-01
5.113929999999999723e+02	5.035226151315788101e-01
5.119529999999999745e+02	1.479662966008771896e+00
5.125119999999999436e+02	1.093077028508769449e-01
5.130720000000000027e+02	-6.513940515350876703e-01
5.136319999999999482e+02	-1.091920367324561658e+00
5.141920000000000073e+02	-3.482361567982455997e-01
5.147519999999999527e+02	-4.753440241228090724e-02
5.153120000000000118e+02	-4.661308936403508185e-01
5.158719999999999573e+02	5.538691063596489217e-01
5.164320000000000164e+02	-5.401659813596491055e-01
