Date and Time 1 = Tue Apr 1 15:38:22.551 2025
Software Version 1 = 4.31.30024.0
Temperature (C) 1 = -70
Model 1 = DU920P_OE
Data Type 1 = Counts (Bg Corrected)
Acquisition Mode 1 = Single Scan
Trigger Mode 1 = Internal
Exposure Time (secs) 1 = 2
Readout Mode 1 = Full Vertical Binning
Horizontal binning 1 = 1
Extended Dynamic Range 1 = off
Horizontally flipped 1 = false
Vertical Shift Speed (usecs) 1 = 12.9
Pixel Readout Rate (MHz) 1 = 0.05
Baseline Clamp 1 = OFF
Clock Amplitude 1 = Normal
Output Amplifier 1 = Conventional
Serial Number 1 = SR1278
Pre-Amplifier Gain 1 = 4x
Spurious Noise Filter Mode 1 = No Filter
Photon counted 1 = false
Data Averaging Filter Mode 1 = No Filter
SR303i 1 = 
Wavelength (nm) 1 = 599.985
Grating Groove Density (l/mm) 1 = 299.906
Grating Blaze 1 = 500
Output Flipper Port 1 = Direct
Input Side Slit Width (um) 1 = 200
Date and Time 2 = Tue Apr 1 15:35:51.890 2025
Software Version 2 = 4.31.30024.0
Temperature (C) 2 = -70
Model 2 = DU920P_OE
Data Type 2 = Counts (Bg Corrected)
Acquisition Mode 2 = Single Scan
Trigger Mode 2 = Internal
Exposure Time (secs) 2 = 2
Readout Mode 2 = Full Vertical Binning
Horizontal binning 2 = 1
Extended Dynamic Range 2 = off
Horizontally flipped 2 = false
Vertical Shift Speed (usecs) 2 = 12.9
Pixel Readout Rate (MHz) 2 = 0.05
Baseline Clamp 2 = OFF
Clock Amplitude 2 = Normal
Output Amplifier 2 = Conventional
Serial Number 2 = SR1278
Pre-Amplifier Gain 2 = 4x
Spurious Noise Filter Mode 2 = No Filter
Photon counted 2 = false
Data Averaging Filter Mode 2 = No Filter
SR303i 2 = 
Wavelength (nm) 2 = 800.005
Grating Groove Density (l/mm) 2 = 299.906
Grating Blaze 2 = 500
Output Flipper Port 2 = Direct
Input Side Slit Width (um) 2 = 200
Glued = True

Wavelength	Spectrumeter Counts
458.55005	171.0
458.82773	166.0
459.10538	143.0
459.38306	163.0
459.66071	163.0
459.93835	180.0
460.216	145.0
460.49368	161.0
460.77133	142.0
461.04895	157.0
461.3266	156.0
461.60425	148.0
461.8819	139.0
462.15952	142.0
462.43716	150.0
462.71478	142.0
462.99243	146.0
463.27005	149.0
463.54767	152.0
463.82529	149.0
464.10291	144.0
464.38052	126.0
464.65814	146.0
464.93576	159.0
465.21335	130.0
465.49097	152.0
465.76859	132.0
466.04617	157.0
466.32376	134.0
466.60138	131.0
466.87897	141.0
467.15656	147.0
467.43414	147.0
467.71173	126.0
467.98932	151.0
468.26691	147.0
468.54446	138.0
468.82205	126.0
469.09961	129.0
469.3772	140.0
469.65475	157.0
469.93231	123.0
470.2099	141.0
470.48746	136.0
470.76501	122.0
471.04257	140.0
471.3201	121.0
471.59766	120.0
471.87521	139.0
472.15274	128.0
472.4303	127.0
472.70782	126.0
472.98535	124.0
473.26291	139.0
473.54044	113.0
473.81796	134.0
474.09549	123.0
474.37302	110.0
474.65051	121.0
474.92804	120.0
475.20557	119.0
475.48306	119.0
475.76059	120.0
476.03809	137.0
476.31558	121.0
476.59308	120.0
476.87057	120.0
477.14807	112.0
477.42557	102.0
477.70306	111.0
477.98053	121.0
478.25803	100.0
478.53549	115.0
478.81299	107.0
479.09045	112.0
479.36792	115.0
479.64539	118.0
479.92285	113.0
480.20032	119.0
480.47778	128.0
480.75525	119.0
481.03271	104.0
481.31015	128.0
481.58762	122.0
481.86505	114.0
482.14249	111.0
482.41992	99.0
482.69736	100.0
482.97479	125.0
483.25223	119.0
483.52966	118.0
483.8071	107.0
484.0845	113.0
484.36194	111.0
484.63934	105.0
484.91675	115.0
485.19418	94.0
485.47159	117.0
485.74899	117.0
486.0264	108.0
486.30377	118.0
486.58118	109.0
486.85858	106.0
487.13596	105.0
487.41336	91.0
487.69073	102.0
487.96811	116.0
488.24548	109.0
488.52286	93.0
488.80023	106.0
489.07761	117.0
489.35498	84.0
489.63232	112.0
489.9097	95.0
490.18704	98.0
490.46439	107.0
490.74176	91.0
491.0191	107.0
491.29645	79.0
491.57379	114.0
491.8511	101.0
492.12845	91.0
492.40579	91.0
492.68311	91.0
492.96042	101.0
493.23776	102.0
493.51508	92.0
493.79239	106.0
494.0697	97.0
494.34702	101.0
494.6243	98.0
494.90161	108.0
495.17892	97.0
495.45621	84.0
495.73349	87.0
496.0108	99.0
496.28809	98.0
496.56537	98.0
496.84265	98.0
497.1199	97.0
497.39719	98.0
497.67447	104.0
497.95172	90.0
498.22897	104.0
498.50626	107.0
498.78351	109.0
499.06076	106.0
499.33801	136.0
499.61526	133.0
499.89249	149.0
500.16974	173.0
500.44696	205.0
500.72421	230.0
501.00143	247.0
501.27866	227.0
501.55588	243.0
501.8331	277.0
502.11032	281.0
502.38754	300.0
502.66473	306.0
502.94196	320.0
503.21915	329.0
503.49634	358.0
503.77356	396.0
504.05075	384.0
504.32794	426.0
504.6051	435.0
504.88229	459.0
505.15948	508.0
505.43665	540.0
505.71384	542.0
505.991	571.0
506.26816	592.0
506.54532	634.0
506.82248	624.0
507.09964	715.0
507.37677	725.0
507.65393	770.0
507.93106	823.0
508.20822	850.0
508.48535	840.0
508.76248	969.0
509.03961	965.0
509.31674	997.0
509.59387	1098.0
509.87097	1080.0
510.1481	1140.0
510.4252	1201.0
510.70233	1287.0
510.97943	1312.0
511.25653	1457.0
511.53363	1492.0
511.81073	1519.0
512.08783	1606.0
512.36487	1689.0
512.64197	1763.0
512.91907	1846.0
513.19611	1869.0
513.47321	1976.0
513.75031	2047.0
514.02734	2152.0
514.30438	2257.0
514.58148	2378.0
514.85852	2493.0
515.13556	2644.0
515.4126	2744.0
515.68964	2872.0
515.96667	3031.0
516.24371	3126.0
516.52075	3259.0
516.79779	3466.0
517.07483	3651.0
517.35187	3810.0
517.62885	3888.0
517.90588	4110.0
518.18286	4383.0
518.4599	4437.0
518.73688	4727.0
519.01385	4904.0
519.29089	5111.0
519.56787	5359.0
519.84485	5629.0
520.12183	6028.0
520.3988	6291.0
520.67578	6573.0
520.95276	6822.0
521.22974	7136.0
521.50671	7329.0
521.78363	7640.0
522.06061	8011.0
522.33759	8297.0
522.6145	8590.0
522.89148	8960.0
523.1684	9036.0
523.44531	9281.0
523.72229	9543.0
523.99921	9711.0
524.27612	9929.0
524.55304	9992.0
524.82996	10159.0
525.10687	10159.0
525.38379	10194.0
525.66071	10067.0
525.93762	10014.0
526.21448	9906.0
526.49139	9912.0
526.76831	9675.0
527.04517	9427.0
527.32202	9255.0
527.59894	9027.0
527.87579	8879.0
528.15265	8553.0
528.42957	8341.0
528.70642	7984.0
528.98328	7846.0
529.26013	7557.0
529.53699	7299.0
529.81384	7103.0
530.09064	6823.0
530.36749	6606.0
530.64435	6302.0
530.92114	6063.0
531.198	5905.0
531.47479	5538.0
531.75165	5451.0
532.02844	5211.0
532.30524	5111.0
532.58203	4777.0
532.85883	4693.0
533.13568	4420.0
533.41248	4246.0
533.68921	4061.0
533.966	3943.0
534.2428	3759.0
534.51959	3666.0
534.79633	3452.0
535.07312	3360.0
535.34991	3228.0
535.62665	3080.0
535.90338	3024.0
536.18018	2889.0
536.45691	2851.0
536.73364	2721.0
537.01038	2652.0
537.28711	2551.0
537.56384	2484.0
537.84058	2358.0
538.11731	2331.0
538.39404	2274.0
538.67072	2171.0
538.94745	2176.0
539.22418	2101.0
539.50085	2024.0
539.77753	1963.0
